"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"LKQ","LKQ Corporation","27.61","8366812170.53","n/a","n/a","Consumer Services","Motor Vehicles","http://www.nasdaq.com/symbol/lkq",
"LYG","Lloyds Banking Group Plc","4.74","84578190000","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/lyg",
"LYG^A","Lloyds Banking Group Plc","25.65","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/lyg^a",
"LMIA","LMI Aerospace, Inc.","14.12","179296748.4","n/a","1998","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/lmia",
"SCD","LMP Capital and Income Fund Inc.","16.74","301040960.94","n/a","2004","n/a","n/a","http://www.nasdaq.com/symbol/scd",
"TLI","LMP Corporate Loan Fund Inc","11.06","109891242.02","n/a","1998","n/a","n/a","http://www.nasdaq.com/symbol/tli",
"RIT","LMP Real Estate Income Fund Inc","12.33","141067813.59","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/rit",
"LNBB","LNB Bancorp, Inc.","17.42","168371163.48","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/lnbb",
"LOCM","Local Corporation","1.19","27643838.04","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/locm",
"LMT","Lockheed Martin Corporation","192.85","60926167877.4","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/lmt",
"L","Loews Corporation","41.81","15642966242.54","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/l",
"LOGI","Logitech International S.A.","14.12","2305221019.48","n/a","1997","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/logi",
"LOGM","LogMein, Inc.","48.48","1182078386.4","n/a","2009","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/logm",
"LOJN","LoJack Corporation","2.52","47274368.4","n/a","n/a","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/lojn",
"EVAR","Lombard Medical, Inc.","5.29","85622866.13","n/a","2014","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/evar",
"LOOK","LookSmart, Ltd.","0.94","5422719.94","n/a","1999","Technology","EDP Services","http://www.nasdaq.com/symbol/look",
"LORL","Loral Space and Communications, Inc.","79.88","2469880413.8","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/lorl",
